,ADDRESS,TYPE,WALK_LIGHT,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,mean_Crashhour,std_Crashhour,mean_Age_NM,Point_Count,Minority_Crash_Severity_Description,Majority_Crash_Severity_Description,Minority_Crash_Severity_Description_Percent,Majority_Crash_Severity_Description_Percent,Join_ID
327,,,,164.04166666666663,328,1089.454350430266,94307.89959580067,8.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,328
326,,,,164.04166666666663,327,1072.737467901119,91514.79667065167,8.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,327
325,,,,164.04166666666663,326,1082.2066977507927,93118.34187492057,8.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,326
324,,,,164.04166666666663,325,1079.1298674566774,92599.12091022228,8.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,325
322,,,,164.04166666666663,323,1073.3279201028652,91591.18908575457,8.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,323
295,Rhode Island Ave & Berwyn Rd,Piano Key,No,164.04166666666663,296,1110.3875151108334,97783.0121447232,7.0,0.0,,1,Injury Crashes,Injury Crashes,100.0,100.0,296
315,,,,164.04166666666663,316,1107.3692046652006,97373.62489643617,16.0,0.0,18.0,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,316
314,,,,164.04166666666663,315,1138.7187462725512,102684.51524149736,16.0,0.0,18.0,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,315
312,,,,164.04166666666663,313,1111.7182278060122,98061.91690582637,16.0,0.0,21.0,1,Injury Crashes,Injury Crashes,100.0,100.0,313
308,,,,164.04166666666663,309,1109.3650969232299,97622.35435976335,23.0,0.0,19.0,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,309
13,,,,164.04166666666663,14,1134.8899562082347,101959.38458789648,23.0,0.0,,1,Property Damage Crashes,Property Damage Crashes,100.0,100.0,14
33,,,,164.04166666666663,34,1150.4088261619859,104546.64319062995,20.0,0.0,,1,Injury Crashes,Injury Crashes,100.0,100.0,34
